ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000004.SZ,20220427,13.8,14.51,13.3,14.45,14.17,0.28,1.976,46325.34,64149.999
000004.SZ,20220428,13.01,13.01,13.01,13.01,14.45,-1.44,-9.9654,11728.0,15258.128
000004.SZ,20220429,11.71,12.69,11.71,12.58,13.01,-0.43,-3.3051,104178.95,126422.559
000004.SZ,20220506,11.95,11.95,11.95,11.95,12.58,-0.63,-5.0079,88.0,105.16
000004.SZ,20220509,11.35,11.35,11.35,11.35,11.95,-0.6,-5.0209,146.0,165.71
000004.SZ,20220510,10.78,10.78,10.78,10.78,11.35,-0.57,-5.022,955.0,1029.49
000004.SZ,20220511,10.24,10.24,10.24,10.24,10.78,-0.54,-5.0093,1214.0,1243.136
000004.SZ,20220512,9.73,9.73,9.73,9.73,10.24,-0.51,-4.9805,787.0,765.751
000004.SZ,20220513,9.24,9.24,9.24,9.24,9.73,-0.49,-5.036,1186.0,1095.864
000004.SZ,20220516,8.78,8.88,8.78,8.83,9.24,-0.41,-4.4372,184608.52,162161.429
000004.SZ,20220517,9.06,9.27,8.67,9.27,8.83,0.44,4.983,102770.54,92545.736
000004.SZ,20220518,9.6,9.73,9.45,9.73,9.27,0.46,4.9622,31589.02,30359.515
000004.SZ,20220519,9.6,10.09,9.45,9.9,9.73,0.17,1.7472,90453.03,88485.903
000004.SZ,20220520,9.76,10.4,9.75,10.38,9.9,0.48,4.8485,83685.06,85539.631
000004.SZ,20220523,10.8,10.8,9.92,10.13,10.38,-0.25,-2.4085,84381.1,86638.41
000004.SZ,20220524,10.11,10.36,9.65,9.68,10.13,-0.45,-4.4423,74106.43,73932.691
000004.SZ,20220525,9.43,9.8,9.43,9.63,9.68,-0.05,-0.5165,40160.44,38462.711
000004.SZ,20220526,9.6,9.65,9.36,9.39,9.63,-0.24,-2.4922,39081.01,36957.108
000004.SZ,20220527,9.43,9.64,9.27,9.42,9.39,0.03,0.3195,42527.0,40167.541
000004.SZ,20220530,9.37,9.65,9.18,9.6,9.42,0.18,1.9108,38262.61,36091.659
000004.SZ,20220531,9.61,9.81,9.53,9.66,9.6,0.06,0.625,26139.46,25254.25
000004.SZ,20220601,9.6,9.7,9.56,9.65,9.66,-0.01,-0.1035,24966.33,24035.798
000004.SZ,20220602,9.63,10.13,9.57,10.09,9.65,0.44,4.5596,61477.91,61402.012
000004.SZ,20220606,9.86,10.4,9.83,10.38,10.09,0.29,2.8741,49297.39,49890.848
000004.SZ,20220607,10.3,10.54,10.01,10.01,10.38,-0.37,-3.5645,36544.0,37361.027
000004.SZ,20220608,10.02,10.16,9.74,9.9,10.01,-0.11,-1.0989,34710.95,34520.971
000004.SZ,20220609,9.9,10.0,9.55,9.56,9.9,-0.34,-3.4343,33165.95,32315.396
000004.SZ,20220610,9.5,9.65,9.49,9.62,9.56,0.06,0.6276,25623.73,24486.118
000004.SZ,20220613,9.42,9.59,9.32,9.42,9.62,-0.2,-2.079,27372.46,25776.884
000004.SZ,20220614,9.36,9.41,9.0,9.25,9.42,-0.17,-1.8047,25482.0,23486.658
000004.SZ,20220615,9.27,9.6,9.26,9.27,9.25,0.02,0.2162,25241.01,23764.72
000004.SZ,20220616,9.25,9.35,9.21,9.3,9.27,0.03,0.3236,15336.0,14235.922
000004.SZ,20220617,9.25,9.34,9.12,9.21,9.3,-0.09,-0.9677,21915.46,20187.362
000004.SZ,20220620,9.19,9.42,9.18,9.23,9.21,0.02,0.2172,22236.68,20630.866
000004.SZ,20220621,9.25,9.34,9.17,9.33,9.23,0.1,1.0834,17551.68,16275.851
000004.SZ,20220622,9.4,9.63,9.31,9.49,9.33,0.16,1.7149,27854.61,26421.55
000004.SZ,20220623,9.85,9.85,9.26,9.29,9.49,-0.2,-2.1075,36218.02,34377.289
000004.SZ,20220624,9.24,9.39,9.24,9.28,9.29,-0.01,-0.1076,23142.02,21530.432
000004.SZ,20220627,9.27,9.35,9.17,9.18,9.28,-0.1,-1.0776,23212.9,21431.596
000004.SZ,20220628,9.18,9.22,9.03,9.18,9.18,0.0,0.0,22413.41,20496.09
000004.SZ,20220629,9.19,9.2,8.87,8.88,9.18,-0.3,-3.268,31701.0,28634.712
000004.SZ,20220630,8.92,9.03,8.86,8.91,8.88,0.03,0.3378,18882.03,16870.751
000004.SZ,20220701,8.91,9.32,8.82,9.17,8.91,0.26,2.9181,28933.27,26302.402
000004.SZ,20220704,9.63,9.63,9.5,9.63,9.17,0.46,5.0164,20387.61,19624.968
000004.SZ,20220705,9.85,9.85,9.33,9.6,9.63,-0.03,-0.3115,46392.86,44375.572
000004.SZ,20220706,9.61,10.08,9.43,10.08,9.6,0.48,5.0,49267.21,48161.103
000004.SZ,20220707,10.11,10.58,10.0,10.38,10.08,0.3,2.9762,64635.55,67231.864
000004.SZ,20220708,10.17,10.17,9.86,9.86,10.38,-0.52,-5.0096,36493.0,36267.841
000004.SZ,20220711,9.37,9.47,9.37,9.37,9.86,-0.49,-4.9696,18498.0,17336.696
000004.SZ,20220712,9.06,9.15,8.9,8.95,9.37,-0.42,-4.4824,76247.11,68297.624
000004.SZ,20220713,8.88,8.99,8.88,8.94,8.95,-0.01,-0.1117,34000.72,30352.44
000004.SZ,20220714,8.94,8.94,8.71,8.71,8.94,-0.23,-2.5727,41085.2,36068.638
000004.SZ,20220715,8.61,8.65,8.27,8.27,8.71,-0.44,-5.0517,51116.18,42600.37
000004.SZ,20220718,8.21,8.53,8.14,8.44,8.27,0.17,2.0556,29268.22,24513.803
000004.SZ,20220719,8.44,8.86,8.39,8.86,8.44,0.42,4.9763,41907.32,36421.727
000004.SZ,20220720,8.88,9.05,8.72,8.93,8.86,0.07,0.7901,35303.18,31452.075
000004.SZ,20220721,8.88,9.14,8.86,8.93,8.93,0.0,0.0,25089.0,22581.903
000004.SZ,20220722,8.92,9.15,8.83,9.03,8.93,0.1,1.1198,27521.25,24774.039
000004.SZ,20220725,9.02,9.48,8.98,9.3,9.03,0.27,2.99,37667.44,34911.844
000004.SZ,20220726,9.3,9.58,9.3,9.48,9.3,0.18,1.9355,38874.39,36790.695
000004.SZ,20220727,9.4,9.65,9.22,9.23,9.48,-0.25,-2.6371,45852.58,43264.025
000004.SZ,20220728,9.28,9.58,9.21,9.38,9.23,0.15,1.6251,39435.28,37086.53
000004.SZ,20220729,9.35,9.43,9.18,9.21,9.38,-0.17,-1.8124,25060.85,23246.371
000004.SZ,20220801,9.21,9.34,9.1,9.25,9.21,0.04,0.4343,17541.74,16185.959
000004.SZ,20220802,9.23,9.23,8.79,8.79,9.25,-0.46,-4.973,34941.36,30920.064
000004.SZ,20220803,8.55,8.97,8.55,8.83,8.79,0.04,0.4551,22228.14,19583.023
000004.SZ,20220804,8.8,9.27,8.8,9.27,8.83,0.44,4.983,26174.0,23733.889
000004.SZ,20220805,9.4,9.73,9.29,9.47,9.27,0.2,2.1575,59468.36,56902.232
000004.SZ,20220808,9.27,9.68,9.04,9.65,9.47,0.18,1.9007,43003.03,40271.702
000004.SZ,20220809,9.58,9.76,9.5,9.53,9.65,-0.12,-1.2435,27440.44,26369.055
000004.SZ,20220810,9.48,10.01,9.45,9.9,9.53,0.37,3.8825,80701.93,80369.095
000004.SZ,20220811,9.75,9.85,9.56,9.78,9.9,-0.12,-1.2121,46414.93,45131.873
000004.SZ,20220812,9.66,9.92,9.66,9.68,9.78,-0.1,-1.0225,35153.5,34337.473
000004.SZ,20220815,9.66,10.06,9.58,9.88,9.68,0.2,2.0661,35084.5,34543.964
000004.SZ,20220816,9.92,10.21,9.82,10.19,9.88,0.31,3.1377,36174.64,36238.802
000004.SZ,20220817,10.23,10.45,9.95,9.96,10.19,-0.23,-2.2571,42333.0,42842.114
000004.SZ,20220818,9.86,9.87,9.63,9.69,9.96,-0.27,-2.7108,31194.0,30419.639
000004.SZ,20220819,9.64,9.97,9.64,9.75,9.69,0.06,0.6192,24353.0,23902.793
000004.SZ,20220822,9.76,10.14,9.76,10.04,9.75,0.29,2.9744,28270.06,28263.005
000004.SZ,20220823,10.0,10.15,9.82,9.83,10.04,-0.21,-2.0916,21809.0,21599.312
000004.SZ,20220824,9.84,9.96,9.43,9.46,9.83,-0.37,-3.764,33041.64,32040.002
000004.SZ,20220825,9.51,9.83,9.41,9.72,9.46,0.26,2.7484,26123.56,25279.637
000004.SZ,20220826,9.82,9.84,9.28,9.36,9.72,-0.36,-3.7037,33489.56,31908.555
000004.SZ,20220829,9.2,9.35,9.04,9.35,9.36,-0.01,-0.1068,11366.0,10494.395
000004.SZ,20220830,9.37,9.6,9.37,9.52,9.35,0.17,1.8182,16103.0,15328.105
