trade_date,open,close,high,low,vol,pct_chg
20220427,3.97,4.02,4.04,3.86,334691.79,0.0
20220428,3.93,4.15,4.32,3.91,438500.79,3.2338
20220429,4.16,4.36,4.38,4.05,492355.27,5.0602
20220505,4.36,4.28,4.4,4.24,346107.05,-1.8349
20220506,4.15,4.03,4.18,4.0,296381.65,-5.8411
20220509,4.01,4.14,4.17,4.01,181890.91,2.7295
20220510,4.08,4.16,4.17,4.01,201738.45,0.4831
20220511,4.12,4.11,4.22,4.11,251073.55,-1.2019
20220512,4.1,4.07,4.14,4.01,226660.05,-0.9732
20220513,4.06,4.48,4.48,4.04,580754.66,10.0737
20220516,4.59,4.64,4.8,4.47,869222.64,3.5714
20220517,4.55,4.44,4.6,4.35,478533.27,-4.3103
20220518,4.47,4.39,4.47,4.35,300169.0,-1.1261
20220519,4.28,4.46,4.53,4.27,380579.46,1.5945
20220520,4.44,4.38,4.48,4.36,308771.09,-1.7937
20220523,4.39,4.36,4.42,4.34,205939.93,-0.4566
20220524,4.36,4.15,4.37,4.15,271862.39,-4.8165
20220525,4.16,4.21,4.24,4.15,151687.0,1.4458
20220526,4.21,4.27,4.3,4.16,186136.64,1.4252
20220527,4.25,4.38,4.44,4.23,367013.55,2.5761
20220530,4.34,4.36,4.39,4.28,223220.19,-0.4566
20220531,4.38,4.42,4.5,4.34,337618.61,1.3761
20220601,4.37,4.54,4.66,4.33,496703.44,2.7149
20220602,4.5,4.41,4.58,4.36,321090.99,-2.8634
20220606,4.39,4.37,4.47,4.34,287666.66,-0.907
20220607,4.38,4.46,4.5,4.35,297497.66,2.0595
20220608,4.4,4.33,4.44,4.26,266111.34,-2.9148
20220609,4.34,4.31,4.36,4.28,145860.27,-0.4619
20220610,4.28,4.32,4.33,4.26,148615.58,0.232
20220613,4.28,4.22,4.32,4.18,167413.2,-2.3148
20220614,4.2,4.29,4.29,4.17,148053.22,1.6588
20220615,4.32,4.35,4.42,4.28,254525.94,1.3986
20220616,4.34,4.33,4.37,4.3,147341.68,-0.4598
20220617,4.3,4.3,4.33,4.25,114405.18,-0.6928
20220620,4.29,4.4,4.42,4.27,213924.34,2.3256
20220621,4.32,4.32,4.44,4.27,320004.67,0.9346
20220622,4.31,4.26,4.34,4.23,157553.36,-1.3889
20220623,4.25,4.52,4.69,4.22,746325.56,6.1033
20220624,4.48,4.52,4.58,4.4,544422.22,0.0
